
line2
line3

NREL 5.0 MW Baseline Wind Turbine for Use in Offshore Analysis.

    Time	WindVxi	GenPwr	RotSpeed	OoPDefl1	IPDefl1	OoPDefl2	IPDefl2	OoPDefl3	IPDefl3	RootFxc1	RootFyc1	RootFzc1	RotTorq
   (sec)	(m/sec)	(kW)	(rpm)	(m)	(m)	(m)	(m)	(m)	(m)	(kN)	(kN)	(kN)	(kNm)
3.119999999999999996e-01 1.140000000000000036e+01 4.859000000000000000e+03 1.206000000000000050e+01 3.509999999999999787e+00 -7.207999999999999963e-01 3.628000000000000114e+00 -1.169000000000000039e+00 3.472999999999999865e+00 1.142999999999999919e-02 2.338000000000000114e+02 -1.025999999999999943e+02 4.566000000000000227e+02 6.541000000000000000e+03
3.250000000000000111e-01 1.140000000000000036e+01 4.884000000000000000e+03 1.208000000000000007e+01 3.694999999999999840e+00 -7.312999999999999501e-01 3.827999999999999847e+00 -1.191000000000000059e+00 3.657000000000000028e+00 4.329000000000000209e-02 2.410000000000000000e+02 -1.102999999999999972e+02 4.555000000000000000e+02 6.605000000000000000e+03
3.380000000000000226e-01 1.140000000000000036e+01 4.915000000000000000e+03 1.209999999999999964e+01 3.878000000000000114e+00 -7.383999999999999453e-01 4.025999999999999801e+00 -1.205999999999999961e+00 3.838000000000000078e+00 7.749000000000000332e-02 2.470999999999999943e+02 -1.179000000000000057e+02 4.541000000000000227e+02 6.619000000000000000e+03
3.499999999999999778e-01 1.140000000000000036e+01 4.951000000000000000e+03 1.209999999999999964e+01 4.057999999999999829e+00 -7.429999999999999938e-01 4.222000000000000419e+00 -1.215999999999999970e+00 4.016000000000000014e+00 1.126999999999999946e-01 2.528000000000000114e+02 -1.250000000000000000e+02 4.526000000000000227e+02 6.572000000000000000e+03
3.629999999999999893e-01 1.140000000000000036e+01 4.991000000000000000e+03 1.209999999999999964e+01 4.233999999999999986e+00 -7.461999999999999744e-01 4.413999999999999702e+00 -1.221999999999999975e+00 4.190999999999999837e+00 1.479999999999999927e-01 2.578000000000000114e+02 -1.311999999999999886e+02 4.510000000000000000e+02 6.459000000000000000e+03
3.750000000000000000e-01 1.140000000000000036e+01 5.035000000000000000e+03 1.208999999999999986e+01 4.405999999999999694e+00 -7.487000000000000322e-01 4.602000000000000313e+00 -1.225000000000000089e+00 4.360999999999999766e+00 1.819999999999999951e-01 2.621000000000000227e+02 -1.360999999999999943e+02 4.493999999999999773e+02 6.275000000000000000e+03
3.880000000000000115e-01 1.140000000000000036e+01 5.076000000000000000e+03 1.208000000000000007e+01 4.572000000000000064e+00 -7.512999999999999678e-01 4.783999999999999808e+00 -1.223999999999999977e+00 4.525000000000000355e+00 2.139999999999999958e-01 2.661999999999999886e+02 -1.395999999999999943e+02 4.476999999999999886e+02 6.022000000000000000e+03
4.000000000000000222e-01 1.140000000000000036e+01 5.115000000000000000e+03 1.206000000000000050e+01 4.732000000000000206e+00 -7.542999999999999705e-01 4.961999999999999744e+00 -1.221999999999999975e+00 4.684000000000000163e+00 2.432999999999999885e-01 2.691999999999999886e+02 -1.415999999999999943e+02 4.463000000000000114e+02 5.704000000000000000e+03
4.129999999999999782e-01 1.140000000000000036e+01 5.150000000000000000e+03 1.205000000000000071e+01 4.886999999999999567e+00 -7.581999999999999851e-01 5.133000000000000007e+00 -1.217000000000000082e+00 4.836999999999999744e+00 2.696000000000000063e-01 2.721999999999999886e+02 -1.420999999999999943e+02 4.450000000000000000e+02 5.330000000000000000e+03
4.249999999999999889e-01 1.140000000000000036e+01 5.168000000000000000e+03 1.202999999999999936e+01 5.035000000000000142e+00 -7.629000000000000226e-01 5.298000000000000043e+00 -1.209999999999999964e+00 4.982999999999999652e+00 2.923999999999999932e-01 2.741999999999999886e+02 -1.415000000000000000e+02 4.438999999999999773e+02 4.914000000000000000e+03
